,property,units,n_points,value,PID,formula,polymername
1,Glass transition temp.,C,1,107.0,P390366,C20H11ClO5,"poly({1,4-bis[(trimethylsilyl)oxy]benzene}-alt-[2-(4-chlorophenoxy)terephthaloyl dichloride])"
2,Melting temp.,C,1,306.0,P390366,C20H11ClO5,"poly({1,4-bis[(trimethylsilyl)oxy]benzene}-alt-[2-(4-chlorophenoxy)terephthaloyl dichloride])"
1,Glass transition temp.,C,1,117.0,P390367,C26H16O5,"poly({1,4-bis[(trimethylsilyl)oxy]benzene}-alt-[2-(4-bromophenoxy)terephthaloyl dichloride])"
2,Melting temp.,C,1,335.0,P390367,C26H16O5,"poly({1,4-bis[(trimethylsilyl)oxy]benzene}-alt-[2-(4-bromophenoxy)terephthaloyl dichloride])"
1,Melting temp.,C,1,360.0,P390370,C20H28O2S2,"poly{[1,4-bis(sulfanylmethyl)-2,3,5,6-trtramethylbenzene]-alt-(octanedioyl dichloride)}"
1,Glass transition temp.,C,1,108.0,P390375,C20H11BrO5,"poly({1,4-bis[(trimethylsilyl)oxy]benzene}-alt-[2-(4-bromophenoxy)terephthaloyl dichloride])"
2,Melting temp.,C,1,318.0,P390375,C20H11BrO5,"poly({1,4-bis[(trimethylsilyl)oxy]benzene}-alt-[2-(4-bromophenoxy)terephthaloyl dichloride])"
1,Glass transition temp.,C,1,106.0,P390376,C20H11FO5,"poly({1,4-bis[(trimethylsilyl)oxy]benzene}-alt-[2-(4-fluorophenoxy)terephthaloyl dichloride])"
2,Melting temp.,C,1,332.0,P390376,C20H11FO5,"poly({1,4-bis[(trimethylsilyl)oxy]benzene}-alt-[2-(4-fluorophenoxy)terephthaloyl dichloride])"
1,Glass transition temp.,C,1,93.0,P390377,C29H22O5,"poly({1,4-bis[(trimethylsilyl)oxy]benzene}-alt-{2-[4-(1-methyl-1-phenylethyl)phenoxy]terephthaloyl dichloride})"
2,Melting temp.,C,1,308.5,P390377,C29H22O5,"poly({1,4-bis[(trimethylsilyl)oxy]benzene}-alt-{2-[4-(1-methyl-1-phenylethyl)phenoxy]terephthaloyl dichloride})"
1,Glass transition temp.,C,1,83.0,P390378,C26H16O6,"poly{1,4-bis[(trimethylsilyl)oxy]benzene}-alt-[2-(4-phenoxyphenoxy)terephthaloyl dichloride]}"
2,Melting temp.,C,1,317.0,P390378,C26H16O6,"poly{1,4-bis[(trimethylsilyl)oxy]benzene}-alt-[2-(4-phenoxyphenoxy)terephthaloyl dichloride]}"
1,Glass transition temp.,C,1,113.0,P390379,C26H22O5,"poly({1,4-bis[(trimethylsilyl)oxy]benzene}-alt-[2-(4-cyclohexylphenoxy)terephthaloyl dichloride])"
2,Melting temp.,C,1,368.0,P390379,C26H22O5,"poly({1,4-bis[(trimethylsilyl)oxy]benzene}-alt-[2-(4-cyclohexylphenoxy)terephthaloyl dichloride])"
1,Glass transition temp.,C,1,74.0,P390380,C14H8O5,poly[(trichloromethyl chloroformate)-alt-(4-hydroxyphenyl 4-hydroxybenzoate)]
